"id","relevance","Usage"
684,3,"Private"
685,2.33,"Private"
689,-1,"Ignored"
692,3,"Private"
693,-1,"Ignored"
694,-1,"Ignored"
695,1.67,"Private"
697,2.67,"Private"
698,3,"Private"
699,3,"Public"
701,3,"Private"
702,3,"Private"
703,3,"Public"
704,-1,"Ignored"
705,-1,"Ignored"
706,2.67,"Private"
707,2.67,"Private"
708,3,"Private"
709,3,"Public"
710,-1,"Ignored"
711,3,"Private"
714,2,"Private"
716,2,"Private"
717,2.67,"Private"
719,-1,"Ignored"
720,3,"Private"
721,2.33,"Private"
723,1.67,"Public"
724,3,"Private"
725,-1,"Ignored"
727,2.67,"Private"
728,2.33,"Private"
729,3,"Public"
730,1.67,"Public"
732,-1,"Ignored"
733,2.67,"Private"
735,2.67,"Public"
736,2.33,"Public"
738,3,"Private"
741,3,"Private"
744,2.67,"Private"
746,-1,"Ignored"
747,-1,"Ignored"
750,1.33,"Private"
752,-1,"Ignored"
754,1.33,"Private"
755,2.33,"Private"
757,3,"Public"
761,2,"Public"
762,-1,"Ignored"
766,-1,"Ignored"
767,2,"Private"
768,-1,"Ignored"
769,3,"Public"
770,-1,"Ignored"
772,2.67,"Private"
774,-1,"Ignored"
775,2.33,"Public"
776,-1,"Ignored"
777,2.67,"Private"
779,3,"Private"
780,3,"Private"
781,2.67,"Private"
782,2,"Public"
783,2.67,"Private"
785,-1,"Ignored"
786,2.67,"Private"
788,3,"Private"
789,-1,"Ignored"
792,1,"Private"
793,-1,"Ignored"
794,3,"Public"
795,1,"Private"
796,-1,"Ignored"
797,-1,"Ignored"
798,3,"Private"
799,1,"Public"
802,-1,"Ignored"
803,2,"Private"
804,3,"Private"
805,-1,"Ignored"
806,-1,"Ignored"
807,3,"Private"
808,2.33,"Private"
809,1,"Private"
810,-1,"Ignored"
813,3,"Private"
814,-1,"Ignored"
815,3,"Public"
816,2.33,"Private"
820,2.33,"Public"
821,2.33,"Private"
822,2.67,"Private"
823,2,"Private"
825,1.67,"Private"
827,3,"Private"
829,2,"Public"
830,2.67,"Private"
833,2.33,"Private"
834,3,"Private"
835,-1,"Ignored"
836,2.67,"Private"
838,3,"Private"
839,-1,"Ignored"
840,-1,"Ignored"
841,2,"Private"
842,-1,"Ignored"
845,1,"Public"
846,-1,"Ignored"
848,2.33,"Public"
849,-1,"Ignored"
850,2.67,"Private"
851,-1,"Ignored"
853,-1,"Ignored"
854,2.33,"Public"
855,2.67,"Private"
856,-1,"Ignored"
858,-1,"Ignored"
859,2.33,"Public"
860,-1,"Ignored"
861,3,"Private"
863,2.33,"Private"
864,-1,"Ignored"
865,2.33,"Private"
866,2.33,"Private"
870,-1,"Ignored"
871,2.33,"Public"
873,2.33,"Private"
874,2,"Private"
875,1.67,"Private"
877,2,"Private"
879,2.33,"Public"
880,-1,"Ignored"
883,-1,"Ignored"
884,-1,"Ignored"
887,3,"Private"
888,1.67,"Public"
889,2.33,"Private"
890,3,"Public"
891,-1,"Ignored"
892,2,"Public"
896,-1,"Ignored"
897,2.67,"Private"
900,3,"Public"
901,2.67,"Public"
903,2,"Private"
904,-1,"Ignored"
905,3,"Public"
906,-1,"Ignored"
907,-1,"Ignored"
911,1,"Public"
913,2.67,"Public"
914,1.33,"Public"
915,2,"Private"
916,1.33,"Private"
917,-1,"Ignored"
919,1,"Private"
920,-1,"Ignored"
921,-1,"Ignored"
924,3,"Public"
925,2.67,"Private"
926,2.33,"Private"
927,2,"Private"
930,2.67,"Private"
931,3,"Private"
932,-1,"Ignored"
933,1.67,"Private"
935,3,"Private"
936,-1,"Ignored"
937,2,"Private"
938,2.33,"Private"
939,-1,"Ignored"
941,2.33,"Private"
942,3,"Public"
943,3,"Private"
945,-1,"Ignored"
946,-1,"Ignored"
947,2.33,"Private"
948,1.33,"Private"
949,2.5,"Public"
950,-1,"Ignored"
951,2,"Private"
952,2,"Private"
953,2.67,"Public"
955,1.67,"Private"
956,-1,"Ignored"
957,-1,"Ignored"
959,2.33,"Private"
960,2,"Private"
961,-1,"Ignored"
964,3,"Private"
965,3,"Public"
966,2.67,"Private"
967,3,"Private"
968,3,"Public"
970,3,"Private"
971,3,"Private"
972,2,"Private"
973,-1,"Ignored"
975,-1,"Ignored"
976,2.67,"Private"
977,2,"Private"
979,2,"Private"
980,3,"Public"
981,-1,"Ignored"
982,3,"Private"
983,2,"Private"
985,3,"Private"
986,3,"Private"
987,2.33,"Private"
988,-1,"Ignored"
989,2,"Public"
990,2.33,"Public"
992,-1,"Ignored"
993,2.67,"Public"
994,-1,"Ignored"
995,2,"Private"
996,1.33,"Private"
997,2.33,"Private"
998,1.67,"Public"
999,-1,"Ignored"
1002,2.67,"Public"
1003,3,"Private"
1005,2,"Private"
1006,1.67,"Private"
1009,2.33,"Private"
1010,2,"Private"
1011,3,"Private"
1012,2.75,"Private"
1013,3,"Private"
1014,3,"Private"
1015,3,"Private"
1016,-1,"Ignored"
1017,3,"Private"
1018,-1,"Ignored"
1021,3,"Private"
1023,3,"Private"
1024,2.33,"Private"
1025,2.67,"Private"
1027,1.33,"Private"
1029,-1,"Ignored"
1030,-1,"Ignored"
1032,-1,"Ignored"
1033,3,"Private"
1034,-1,"Ignored"
1035,3,"Private"
1036,2,"Private"
1037,2.67,"Private"
1039,2.33,"Private"
1041,1.67,"Private"
1042,2.33,"Private"
1043,-1,"Ignored"
1044,-1,"Ignored"
1045,2.33,"Private"
1046,-1,"Ignored"
1047,2.67,"Private"
1048,-1,"Ignored"
1049,2,"Private"
1050,1.67,"Public"
1052,3,"Private"
1054,1.67,"Private"
1055,3,"Private"
1057,2.33,"Private"
1058,2,"Public"
1059,-1,"Ignored"
1061,2.33,"Private"
1063,2,"Public"
1064,1.67,"Private"
1066,-1,"Ignored"
1067,3,"Private"
1069,-1,"Ignored"
1070,2.67,"Public"
1071,-1,"Ignored"
1075,-1,"Ignored"
1077,-1,"Ignored"
1078,2.33,"Private"
1079,-1,"Ignored"
1082,2.33,"Public"
1085,2.33,"Private"
1087,2.67,"Private"
1088,3,"Private"
1089,3,"Public"
1091,3,"Private"
1092,2,"Public"
1093,1.67,"Private"
1094,3,"Private"
1096,3,"Private"
1099,2.67,"Private"
1100,2.33,"Private"
1102,3,"Public"
1105,3,"Private"
1106,1.67,"Private"
1109,3,"Private"
1110,-1,"Ignored"
1111,3,"Private"
1112,3,"Private"
1113,3,"Private"
1114,-1,"Ignored"
1115,-1,"Ignored"
1117,2.67,"Private"
1118,2.33,"Public"
1119,-1,"Ignored"
1120,3,"Private"
1122,2.33,"Private"
1123,2.33,"Private"
1124,3,"Private"
1125,-1,"Ignored"
1126,-1,"Ignored"
1127,-1,"Ignored"
1130,2.33,"Public"
1131,-1,"Ignored"
1133,2,"Private"
1136,3,"Public"
1137,-1,"Ignored"
1139,2.67,"Private"
1140,2.33,"Public"
1141,3,"Private"
1143,2.33,"Public"
1144,1.67,"Public"
1147,-1,"Ignored"
1149,2.67,"Private"
1150,-1,"Ignored"
1152,1,"Private"
1153,2,"Private"
1154,-1,"Ignored"
1156,2.67,"Private"
1157,2,"Public"
1158,2,"Private"
1160,1.33,"Public"
1161,-1,"Ignored"
1162,3,"Public"
1163,-1,"Ignored"
1166,2.33,"Private"
1167,1.67,"Private"
1169,-1,"Ignored"
1170,-1,"Ignored"
1173,3,"Private"
1174,2.67,"Private"
1175,3,"Private"
1178,1.67,"Private"
1179,3,"Public"
1181,2,"Private"
1182,2.33,"Private"
1183,3,"Private"
1184,-1,"Ignored"
1186,3,"Public"
1187,3,"Public"
1188,2.67,"Private"
1189,2.33,"Private"
1190,3,"Private"
1193,2.33,"Private"
1194,2.33,"Private"
1197,2.33,"Public"
1198,2.33,"Private"
1199,2.33,"Private"
1200,3,"Private"
1201,3,"Private"
1202,-1,"Ignored"
1203,-1,"Ignored"
1204,1.33,"Private"
1207,-1,"Ignored"
1209,2,"Public"
1210,2.67,"Private"
1211,-1,"Ignored"
1213,1.67,"Public"
1214,2.33,"Private"
1217,-1,"Ignored"
1219,-1,"Ignored"
1221,-1,"Ignored"
1222,-1,"Ignored"
1223,3,"Private"
1225,2.67,"Public"
1226,-1,"Ignored"
1229,2.67,"Private"
1232,2.67,"Private"
1233,2.67,"Public"
1234,3,"Private"
1235,-1,"Ignored"
1236,2.33,"Private"
1239,3,"Private"
1240,3,"Private"
1241,-1,"Ignored"
1242,-1,"Ignored"
1244,2,"Public"
1245,2,"Public"
1246,2.67,"Private"
1247,3,"Private"
1249,-1,"Ignored"
1250,2.67,"Private"
1251,-1,"Ignored"
1254,-1,"Ignored"
1255,3,"Public"
1256,-1,"Ignored"
1258,-1,"Ignored"
1259,-1,"Ignored"
1260,-1,"Ignored"
1261,2.67,"Public"
1262,-1,"Ignored"
1263,3,"Public"
1264,3,"Private"
1265,2,"Public"
1268,-1,"Ignored"
1269,1.33,"Private"
1270,2.33,"Private"
1271,-1,"Ignored"
1272,2.67,"Public"
1274,2,"Public"
1277,2.33,"Private"
1278,-1,"Ignored"
1280,-1,"Ignored"
1281,-1,"Ignored"
1282,2.33,"Public"
1283,-1,"Ignored"
1284,3,"Private"
1285,1.67,"Private"
1286,2,"Public"
1288,-1,"Ignored"
1290,1.67,"Private"
1292,2,"Private"
1293,3,"Private"
1294,2,"Private"
1295,-1,"Ignored"
1297,-1,"Ignored"
1298,2.67,"Private"
1299,2.33,"Public"
1301,1.67,"Public"
1304,3,"Private"
1305,-1,"Ignored"
1306,-1,"Ignored"
1307,2,"Private"
1308,2.67,"Public"
1309,2.33,"Private"
1310,1.67,"Private"
1311,2.33,"Private"
1312,-1,"Ignored"
1313,1.33,"Private"
1314,-1,"Ignored"
1315,3,"Private"
1318,3,"Public"
1319,-1,"Ignored"
1321,2.67,"Private"
1322,1.67,"Private"
1324,3,"Public"
1325,-1,"Ignored"
1327,-1,"Ignored"
1328,1,"Private"
1329,-1,"Ignored"
1330,1,"Public"
1331,2.33,"Private"
1332,-1,"Ignored"
1333,1,"Private"
1334,2,"Private"
1336,-1,"Ignored"
1337,2.33,"Private"
1339,2.33,"Public"
1341,2,"Private"
1342,-1,"Ignored"
1343,2,"Private"
1346,2.33,"Private"
1350,2.33,"Public"
1351,-1,"Ignored"
1352,2.67,"Private"
1353,-1,"Ignored"
1354,3,"Private"
1358,-1,"Ignored"
1360,2.33,"Private"
1361,1.67,"Private"
1362,2.33,"Private"
1363,-1,"Ignored"
1365,-1,"Ignored"
1367,2.67,"Private"
1368,1.67,"Private"
1369,2.33,"Private"
1370,3,"Private"
1371,-1,"Ignored"
1372,-1,"Ignored"
1373,3,"Private"
1374,-1,"Ignored"
1375,3,"Private"
1376,-1,"Ignored"
1378,2.33,"Public"
1379,2.33,"Private"
1380,1.67,"Public"
1381,-1,"Ignored"
1382,2.67,"Private"
1383,1,"Public"
1384,1.67,"Private"
1385,1,"Public"
1386,1,"Private"
1389,2.67,"Public"
1390,2.33,"Private"
1391,3,"Public"
1392,3,"Private"
1393,-1,"Ignored"
1396,3,"Private"
1398,-1,"Ignored"
1400,3,"Private"
1402,2,"Public"
1404,3,"Private"
1406,-1,"Ignored"
1407,-1,"Ignored"
1409,-1,"Ignored"
1410,3,"Public"
1411,-1,"Ignored"
1412,-1,"Ignored"
1413,2.33,"Public"
1415,2.33,"Private"
1416,3,"Public"
1417,3,"Private"
1418,-1,"Ignored"
1420,-1,"Ignored"
1421,3,"Public"
1423,3,"Public"
1424,2,"Public"
1425,-1,"Ignored"
1426,2,"Private"
1428,1.67,"Private"
1429,2.33,"Private"
1430,2.67,"Public"
1432,2.67,"Private"
1435,-1,"Ignored"
1437,2.67,"Private"
1438,-1,"Ignored"
1440,2.67,"Private"
1441,-1,"Ignored"
1442,3,"Private"
1445,2,"Private"
1446,-1,"Ignored"
1447,3,"Private"
1448,2,"Private"
1450,2.33,"Private"
1451,-1,"Ignored"
1452,-1,"Ignored"
1455,-1,"Ignored"
1456,-1,"Ignored"
1457,2,"Private"
1459,2,"Public"
1460,1.67,"Private"
1461,2.67,"Private"
1462,-1,"Ignored"
1463,1,"Public"
1464,3,"Public"
1465,3,"Private"
1466,-1,"Ignored"
1467,2.67,"Private"
1469,3,"Private"
1470,-1,"Ignored"
1474,-1,"Ignored"
1475,1.33,"Private"
1476,2.67,"Public"
1477,-1,"Ignored"
1478,2,"Public"
1480,1.67,"Public"
1482,3,"Private"
1484,-1,"Ignored"
1485,-1,"Ignored"
1488,2,"Private"
1489,1.67,"Private"
1493,2,"Private"
1494,2,"Private"
1495,3,"Private"
1498,2,"Private"
1499,1.33,"Private"
1500,2,"Private"
1502,-1,"Ignored"
1503,1.33,"Public"
1505,-1,"Ignored"
1507,-1,"Ignored"
1508,1.33,"Private"
1510,-1,"Ignored"
1511,-1,"Ignored"
1513,3,"Public"
1514,2.33,"Private"
1515,-1,"Ignored"
1516,1.67,"Private"
1517,3,"Private"
1518,2.67,"Private"
1519,-1,"Ignored"
1520,-1,"Ignored"
1521,2.67,"Private"
1522,1.33,"Private"
1523,2.67,"Private"
1524,-1,"Ignored"
1525,1.33,"Private"
1526,2,"Private"
1527,-1,"Ignored"
1529,2,"Public"
1530,2,"Private"
1531,2,"Private"
1532,-1,"Ignored"
1533,2,"Private"
1534,2,"Private"
1535,-1,"Ignored"
1536,-1,"Ignored"
1537,-1,"Ignored"
1539,1,"Private"
1540,-1,"Ignored"
1541,3,"Private"
1543,-1,"Ignored"
1544,-1,"Ignored"
1545,3,"Private"
1547,3,"Public"
1549,2.67,"Private"
1550,-1,"Ignored"
1551,-1,"Ignored"
1552,-1,"Ignored"
1553,2,"Private"
1555,2.33,"Private"
1556,-1,"Ignored"
1557,2.33,"Private"
1558,1.67,"Private"
1559,3,"Private"
1563,2,"Public"
1564,3,"Private"
1565,2.33,"Private"
1566,-1,"Ignored"
1567,-1,"Ignored"
1570,2.67,"Private"
1573,3,"Private"
1574,-1,"Ignored"
1575,2,"Private"
1579,3,"Private"
1580,1.67,"Private"
1581,3,"Private"
1582,3,"Private"
1583,2.67,"Private"
1584,-1,"Ignored"
1585,-1,"Ignored"
1586,1.33,"Public"
1589,3,"Public"
1590,1.67,"Public"
1591,2.67,"Private"
1592,-1,"Ignored"
1594,2.67,"Private"
1596,-1,"Ignored"
1597,1.33,"Public"
1598,-1,"Ignored"
1599,-1,"Ignored"
1600,2.67,"Private"
1601,2,"Private"
1602,-1,"Ignored"
1603,2.33,"Public"
1604,1,"Public"
1605,2.33,"Public"
1606,3,"Public"
1607,-1,"Ignored"
1608,-1,"Ignored"
1611,2,"Private"
1613,2.67,"Public"
1614,1.67,"Public"
1615,2,"Public"
1618,2,"Public"
1619,-1,"Ignored"
1620,2.67,"Private"
1621,3,"Private"
1623,2.33,"Private"
1625,2,"Private"
1626,2.67,"Private"
1628,-1,"Ignored"
1629,-1,"Ignored"
1630,1,"Public"
1631,-1,"Ignored"
1632,3,"Public"
1635,2,"Private"
1636,2.33,"Public"
1638,3,"Private"
1639,1.67,"Public"
1641,2.67,"Public"
1642,1.33,"Public"
1644,-1,"Ignored"
1646,1,"Private"
1649,1.67,"Private"
1650,2.33,"Private"
1651,1,"Private"
1652,1,"Private"
1658,3,"Private"
1659,2.67,"Public"
1660,1.33,"Public"
1662,2.33,"Private"
1663,-1,"Ignored"
1665,-1,"Ignored"
1666,2.33,"Public"
1668,1,"Public"
1674,-1,"Ignored"
1676,2.67,"Private"
1678,-1,"Ignored"
1679,2.25,"Private"
1680,1.67,"Private"
1682,3,"Private"
1683,-1,"Ignored"
1684,2.33,"Private"
1685,-1,"Ignored"
1686,3,"Public"
1687,3,"Public"
1688,-1,"Ignored"
1689,3,"Public"
1690,-1,"Ignored"
1693,2,"Private"
1694,-1,"Ignored"
1695,2.33,"Public"
1697,-1,"Ignored"
1698,-1,"Ignored"
1699,2.33,"Private"
1700,3,"Public"
1701,3,"Public"
1706,3,"Private"
1707,2.67,"Private"
1708,2.67,"Private"
1709,-1,"Ignored"
1710,3,"Private"
1711,-1,"Ignored"
1712,3,"Private"
1714,2.33,"Private"
1716,2.67,"Private"
1717,3,"Private"
1718,-1,"Ignored"
1719,-1,"Ignored"
1720,2.33,"Private"
1723,2.33,"Private"
1725,2.33,"Public"
1727,-1,"Ignored"
1728,1.67,"Private"
1729,-1,"Ignored"
1730,2.67,"Private"
1732,3,"Private"
1734,2.67,"Private"
1735,3,"Private"
1736,2,"Private"
1737,2.67,"Private"
1739,-1,"Ignored"
1743,-1,"Ignored"
1744,3,"Private"
1745,2,"Private"
1747,-1,"Ignored"
1748,2.33,"Private"
1750,2,"Private"
1751,2,"Private"
1752,-1,"Ignored"
1754,3,"Private"
1755,-1,"Ignored"
1756,-1,"Ignored"
1757,2,"Private"
1758,2,"Private"
1759,-1,"Ignored"
1760,3,"Private"
1761,2.67,"Public"
1763,3,"Private"
1764,2.33,"Public"
1766,-1,"Ignored"
1767,3,"Private"
1768,3,"Private"
1769,2,"Private"
1770,2.67,"Private"
1772,-1,"Ignored"
1773,3,"Private"
1775,3,"Private"
1776,1.67,"Private"
1778,-1,"Ignored"
1781,2.67,"Private"
1783,-1,"Ignored"
1787,2.67,"Public"
1788,2.33,"Public"
1789,3,"Public"
1791,2.33,"Public"
1792,1.33,"Private"
1793,-1,"Ignored"
1794,1.33,"Private"
1795,3,"Private"
1796,3,"Private"
1798,-1,"Ignored"
1799,-1,"Ignored"
1800,3,"Private"
1801,3,"Private"
1802,-1,"Ignored"
1803,2.67,"Public"
1806,1.33,"Private"
1807,2,"Private"
1808,-1,"Ignored"
1809,2.33,"Private"
1810,2.67,"Public"
1812,2.33,"Public"
1813,2.67,"Private"
1814,2.33,"Public"
1817,2.67,"Private"
1819,3,"Private"
1820,2.33,"Public"
1822,-1,"Ignored"
1823,3,"Public"
1825,2.33,"Public"
1826,-1,"Ignored"
1827,2.33,"Public"
